"","NTD.ID","Agency.Name","Reporter.Type","Reporting.Module","Mode","TOS","Bio.Diesel","Bunker.Fuel","C.Natural.Gas","Diesel.Fuel","Electric.Battery","Electric.Propulsion","Ethanol","Methonal","Gasoline","Hydrogen","Kerosene","Liquified.Nat.Gas","Liquified.Petroleum.Gas","Renewable.Diesel","Passenger.Paid.Fares","Organization.Paid.Fares","Total.Fares"
"5217",80184,"Lake County Council on Aging","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2941,877,3818
"5218",80184,"Lake County Council on Aging","Rural Reporter","Rural","DR","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5219",80184,"Lake County Council on Aging","Rural Reporter","Rural","DR","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5695,0,5695
"5220",80185,"Riverton Senior Center","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5221",80185,"Riverton Senior Center","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12485,27598,40083
"5222",80186,"City of Steamboat Springs","Rural Reporter","Rural","CB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5223",80186,"City of Steamboat Springs","Rural Reporter","Rural","CB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,168419,0,168419
"5224",80186,"City of Steamboat Springs","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5225",80186,"City of Steamboat Springs","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5226",80186,"City of Steamboat Springs","Rural Reporter","Rural","DR","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5227",80186,"City of Steamboat Springs","Rural Reporter","Rural","DR","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5228",80186,"City of Steamboat Springs","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5229",80186,"City of Steamboat Springs","Rural Reporter","Rural","MB","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5230",80187,"Brookings Area Transit Authority","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5231",80187,"Brookings Area Transit Authority","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,209755,62592,272347
"5232",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5233",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","DR","DO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5234",80188,"Southern Teton Area Rapid Transit","Rural Reporter","Rural","DR","PT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
